shipment_id,supplier_id,product,origin,destination,order_quantity,inventory_level,historical_lead_time,current_lead_time,supplier_reliability,weather_risk,transportation_mode,previous_delays,delay_days
SHP032249,SUP008,Router,South Korea,Germany,2702,8960,3,20,0.72,0.45,Sea,4,8
SHP045712,SUP005,Keyboard,USA,Singapore,2576,1770,15,24,0.77,0.92,Road,0,4
SHP054540,SUP007,Microchip,China,Canada,2636,8494,5,8,0.89,0.4,Road,1,0
SHP079560,SUP007,Monitor,China,India,4597,1962,16,21,0.94,0.43,Sea,0,0
SHP095167,SUP007,Microchip,China,Canada,2301,5861,13,19,0.78,0.28,Air,3,6
SHP057228,SUP001,Printer,USA,Singapore,417,2498,4,14,0.72,0.96,Air,2,7
SHP060275,SUP006,Monitor,Taiwan,Canada,1537,4110,6,14,0.88,0.87,Air,2,8
SHP093487,SUP006,Laptop,Vietnam,Germany,2772,2160,4,12,0.8,0.47,Road,0,5
SHP102359,SUP001,Tablet,Germany,India,202,1408,12,15,0.79,0.3,Air,0,0
SHP062754,SUP002,Microchip,South Korea,Germany,3746,6534,20,28,0.78,0.04,Road,1,5
SHP005223,SUP006,Smartphone,Taiwan,Australia,4745,598,23,27,0.87,0.3,Road,0,0
SHP031222,SUP002,Laptop,Taiwan,Germany,3346,8624,17,29,0.84,0.32,Sea,1,3
SHP002212,SUP005,Microchip,South Korea,Canada,1570,1839,13,17,0.8,0.31,Rail,0,0
SHP058147,SUP003,Microchip,South Korea,Canada,1850,6172,11,26,0.76,0.08,Sea,4,8
SHP108283,SUP009,Microchip,Vietnam,Germany,4978,3782,19,30,0.96,0.45,Rail,3,9
SHP014443,SUP004,Laptop,Taiwan,USA,3663,2993,20,33,0.9,0.76,Air,2,10
SHP062260,SUP006,Microchip,Vietnam,Germany,1454,9153,24,24,0.76,0.62,Air,0,0
SHP097483,SUP007,Printer,India,Canada,4638,7204,28,35,0.87,0.75,Air,0,6
SHP012230,SUP005,Tablet,India,Canada,4135,7850,18,38,0.77,0.68,Sea,4,11
SHP041676,SUP008,Microchip,South Korea,USA,2155,9034,18,31,0.91,0.89,Sea,1,7
SHP077074,SUP004,Monitor,Vietnam,France,4797,8603,16,25,0.87,0.23,Sea,3,3
SHP003913,SUP002,Router,India,UK,2921,6731,10,14,0.95,0.96,Road,4,0
SHP080330,SUP010,Headphones,USA,Australia,1255,4354,24,25,0.96,0.05,Road,2,0
SHP008580,SUP001,Smartphone,China,UK,2148,3132,11,23,0.79,0.06,Sea,1,5
SHP018906,SUP003,Smartphone,China,Singapore,1573,5497,26,33,0.92,0.7,Sea,2,0
SHP102063,SUP010,Tablet,USA,Australia,2199,9151,30,38,0.91,0.13,Sea,0,0
SHP102561,SUP003,Smartphone,Taiwan,Canada,86,500,5,4,0.96,0.43,Air,3,0
SHP020877,SUP006,Microchip,China,Australia,330,8557,26,41,0.89,0.86,Sea,2,10
SHP079187,SUP008,Keyboard,Taiwan,UK,297,1062,21,23,0.9,0.28,Air,3,0
SHP043545,SUP003,Tablet,India,Canada,3359,7643,28,39,0.92,0.64,Air,0,8
SHP018242,SUP001,Mouse,Japan,Singapore,4481,5657,12,13,0.97,0.61,Air,1,0
SHP022694,SUP005,Printer,Taiwan,Germany,4430,9670,5,5,0.8,0.24,Air,4,0
SHP013521,SUP006,Microchip,USA,India,4849,282,20,29,0.91,0.74,Sea,3,0
SHP068582,SUP008,Smartphone,Vietnam,Canada,1060,9657,22,26,0.79,0.81,Road,4,0
SHP074809,SUP002,Laptop,China,India,710,7604,14,23,0.73,0.59,Air,1,7
SHP100612,SUP009,Microchip,Japan,Germany,3745,2859,7,9,0.75,0.96,Air,0,0
SHP088169,SUP010,Tablet,South Korea,Germany,4357,4637,6,20,0.71,0.69,Sea,3,6
SHP006047,SUP002,SSD,Japan,France,273,4998,26,36,0.74,0.11,Sea,4,5
SHP060873,SUP005,SSD,India,Canada,555,1309,9,12,0.73,0.22,Rail,0,0
SHP069327,SUP007,Headphones,Japan,India,2945,1734,17,25,0.85,0.56,Air,0,5
SHP074115,SUP010,SSD,Taiwan,France,3074,4889,25,28,0.98,0.92,Air,0,0
SHP049995,SUP003,Smartphone,China,UK,1788,4137,26,32,0.72,0.98,Air,4,7
SHP041620,SUP002,Laptop,Taiwan,France,1229,3230,20,31,0.71,0.65,Air,0,8
SHP056181,SUP010,Tablet,India,USA,1806,5258,16,25,0.97,0.27,Sea,4,0
SHP017093,SUP010,Monitor,Taiwan,UK,2032,1365,3,2,0.98,0.47,Air,4,0
SHP030415,SUP004,Microchip,China,Canada,1674,4000,10,20,0.98,0.56,Rail,4,5
SHP104282,SUP002,Microchip,Vietnam,Singapore,4452,1559,14,27,0.95,0.05,Sea,4,6
SHP084353,SUP004,Microchip,Germany,UK,525,5383,14,19,0.8,0.44,Road,2,0
SHP090396,SUP006,Microchip,Vietnam,UK,2882,330,15,23,0.74,0.89,Air,0,6
SHP067723,SUP006,Microchip,China,USA,1067,1900,15,31,0.82,0.23,Sea,3,7
SHP015138,SUP001,Laptop,India,Canada,4290,4918,16,28,0.92,0.33,Sea,3,5
SHP017526,SUP005,Smartphone,South Korea,USA,4532,7241,27,35,0.82,0.21,Air,1,6
SHP073885,SUP003,Monitor,South Korea,USA,3482,5587,29,33,0.98,0.26,Road,1,0
SHP075818,SUP010,Tablet,Germany,India,4291,9821,7,14,0.75,0.24,Air,4,5
SHP068942,SUP004,Microchip,China,France,1076,8022,26,31,0.77,0.25,Air,0,5
SHP002041,SUP002,Keyboard,Germany,Germany,221,5050,22,33,0.74,0.91,Air,4,11
SHP015975,SUP001,Headphones,Germany,UK,2048,1633,28,39,0.74,0.91,Sea,4,6
SHP061469,SUP002,Microchip,Taiwan,USA,2902,3951,17,20,0.73,0.15,Air,1,4
SHP029243,SUP007,Headphones,USA,UK,3314,1232,26,31,0.98,0.06,Sea,3,0
SHP050521,SUP008,Smartphone,USA,Canada,1600,3026,15,20,0.94,0.92,Sea,0,0
SHP059727,SUP001,Microchip,South Korea,UK,4960,5865,20,34,0.87,0.73,Sea,3,6
SHP057108,SUP010,Mouse,Japan,Germany,2996,6720,9,11,0.95,0.25,Air,3,3
SHP003738,SUP007,Smartphone,South Korea,Singapore,3718,9240,17,19,0.88,0.02,Road,0,0
SHP004511,SUP001,Microchip,South Korea,Australia,3643,3492,27,41,0.84,0.82,Sea,2,5
SHP102907,SUP007,Smartphone,South Korea,USA,2349,7609,14,23,0.8,0.04,Road,2,5
SHP053672,SUP008,Smartphone,South Korea,Germany,2803,2513,19,29,0.79,0.35,Rail,2,5
SHP010217,SUP009,Microchip,Japan,USA,4494,4853,5,5,0.9,0.23,Air,1,0
SHP108973,SUP005,Microchip,Vietnam,India,4622,3525,30,33,0.86,0.54,Air,0,0
SHP032113,SUP005,Laptop,Japan,India,4610,2090,24,29,0.74,0.43,Road,2,0
SHP026304,SUP005,Router,China,Germany,2733,9153,28,34,0.83,0.79,Air,0,7
SHP009960,SUP001,Microchip,Vietnam,USA,4697,9322,11,16,0.99,0.54,Sea,4,0
SHP019403,SUP008,Laptop,USA,India,3805,7247,4,5,0.95,0.17,Air,3,0
SHP031207,SUP002,Laptop,Taiwan,Australia,57,1280,8,17,0.85,0.57,Road,1,7
SHP053302,SUP008,Tablet,South Korea,Canada,1661,5334,12,21,0.78,0.53,Air,3,7
SHP105771,SUP001,Keyboard,China,UK,4884,2100,23,25,0.85,0.2,Air,0,0
SHP059327,SUP001,Tablet,Vietnam,India,3706,7888,19,24,0.89,0.76,Rail,3,0
SHP048401,SUP008,Tablet,Taiwan,India,3241,9446,25,32,0.75,0.12,Rail,1,4
SHP065611,SUP008,Headphones,China,India,2858,441,27,44,0.93,0.35,Sea,4,8
SHP103304,SUP001,Tablet,India,UK,1320,5050,6,12,0.91,0.38,Air,4,6
SHP011617,SUP001,Tablet,USA,UK,1650,1059,17,26,0.88,0.96,Sea,0,0
SHP067879,SUP004,Laptop,India,Australia,3860,6581,7,13,0.7,0.53,Sea,3,0
SHP025070,SUP008,Smartphone,Germany,Canada,3612,6633,20,33,0.88,0.3,Sea,1,4
SHP085561,SUP003,Microchip,Japan,France,4570,5075,12,21,0.87,0.74,Sea,0,0
SHP097012,SUP001,Laptop,Germany,UK,3387,2790,6,12,0.81,0.44,Road,1,3
SHP082150,SUP010,Mouse,India,France,3586,7763,21,21,0.84,0.46,Air,0,0
SHP004082,SUP008,Smartphone,Vietnam,France,3265,3290,18,20,0.9,0.61,Rail,0,0
SHP057835,SUP006,Tablet,Taiwan,Australia,4731,7413,26,30,0.96,0.38,Air,2,5
SHP096128,SUP002,Mouse,India,UK,724,3444,7,19,0.88,0.2,Sea,4,7
SHP081155,SUP006,SSD,USA,Singapore,1735,8566,9,22,0.95,0.84,Sea,1,5
SHP103487,SUP006,Smartphone,USA,France,3711,6216,28,36,0.83,0.48,Sea,1,0
SHP081416,SUP003,Headphones,India,France,4661,430,13,17,0.74,0.6,Road,2,0
SHP008310,SUP008,Laptop,Japan,Germany,1494,1651,7,12,0.87,0.4,Sea,2,0
SHP031411,SUP009,Microchip,Taiwan,Australia,4221,9677,15,29,0.91,0.85,Rail,4,9
SHP038022,SUP006,Printer,Japan,Canada,3868,6144,9,11,0.91,0.13,Air,1,0
SHP011569,SUP008,Keyboard,Taiwan,UK,1407,823,25,33,0.97,0.23,Rail,3,4
SHP096829,SUP009,Microchip,Germany,Australia,4858,5053,29,39,0.94,0.08,Sea,3,4
SHP073847,SUP002,Smartphone,China,USA,1422,1818,8,17,1.0,0.17,Sea,1,0
SHP036806,SUP007,Mouse,South Korea,UK,2778,8416,8,13,0.85,0.13,Sea,1,0
SHP060743,SUP002,Laptop,China,Germany,616,646,6,16,0.73,0.27,Road,3,5
SHP070689,SUP008,Mouse,China,India,958,9915,13,19,0.79,0.12,Air,1,4
SHP009411,SUP004,Keyboard,South Korea,USA,3722,2414,17,30,0.95,0.85,Sea,2,7
SHP023176,SUP009,Smartphone,USA,UK,1137,2920,27,37,0.82,0.65,Road,0,8
SHP087791,SUP006,Microchip,Japan,Australia,3566,2111,19,32,0.89,0.66,Sea,1,4
SHP065744,SUP001,Smartphone,Japan,USA,1550,4080,3,9,0.97,0.3,Air,0,5
SHP010948,SUP002,Smartphone,USA,Australia,292,6377,8,13,0.91,0.13,Air,4,5
SHP063048,SUP006,Smartphone,USA,Germany,1175,1314,25,32,0.86,0.3,Sea,4,0
SHP043651,SUP006,Tablet,Taiwan,India,4356,1720,6,15,0.83,0.7,Sea,0,0
SHP075985,SUP008,Microchip,Germany,Singapore,180,5184,30,30,0.83,0.7,Air,1,0
SHP073196,SUP001,SSD,Taiwan,Canada,1677,183,23,29,0.75,0.1,Rail,2,3
SHP057759,SUP006,Tablet,India,USA,1624,9979,26,43,0.71,0.57,Rail,4,11
SHP105827,SUP001,Microchip,Taiwan,Australia,2240,689,24,29,0.88,0.25,Road,3,0
SHP099560,SUP009,Laptop,Japan,Australia,2749,1601,24,30,0.89,0.9,Sea,4,0
SHP083527,SUP002,Microchip,Germany,Australia,2475,3891,19,28,0.8,0.59,Road,4,8
SHP017912,SUP002,Microchip,Vietnam,Canada,1513,462,9,16,0.73,0.53,Air,0,7
SHP037566,SUP006,SSD,South Korea,Canada,3465,9531,18,20,0.75,0.87,Air,1,3
SHP007728,SUP002,Laptop,South Korea,France,4083,7851,23,35,0.98,0.67,Sea,2,3
SHP093243,SUP004,Tablet,Japan,Australia,445,5324,6,11,0.71,0.72,Sea,0,0
SHP009343,SUP009,Laptop,Japan,France,3376,8110,3,12,0.79,0.85,Sea,1,0
SHP104653,SUP004,Microchip,South Korea,UK,237,8922,18,27,0.81,0.07,Sea,2,0
SHP032547,SUP002,SSD,Germany,USA,1475,8153,12,13,0.85,0.09,Air,4,0
SHP033101,SUP002,Keyboard,South Korea,USA,4595,5867,20,34,1.0,0.49,Rail,4,9
SHP016401,SUP004,Router,South Korea,Australia,3186,2467,26,38,0.75,0.39,Sea,3,6
SHP066888,SUP007,Headphones,Taiwan,Canada,2692,423,3,8,0.78,0.74,Sea,4,0
SHP037900,SUP004,Microchip,Japan,Canada,4289,379,26,38,0.92,0.55,Sea,2,3
SHP082992,SUP007,SSD,South Korea,Canada,3964,4834,26,42,0.82,0.54,Sea,4,10
SHP012790,SUP002,Laptop,Germany,India,582,5673,27,43,0.8,0.79,Sea,0,7
SHP093416,SUP008,Router,India,France,3114,5524,7,15,0.75,0.87,Road,0,3
SHP048823,SUP010,Microchip,South Korea,Germany,2756,8107,14,22,0.72,0.71,Air,4,9
SHP007302,SUP003,Keyboard,Vietnam,USA,716,8140,26,28,0.9,0.73,Air,0,0
SHP063149,SUP005,Monitor,India,France,4824,8512,25,28,0.87,0.01,Air,0,0
SHP067669,SUP006,Laptop,South Korea,Canada,4098,9042,21,28,0.79,0.5,Air,1,5
SHP074178,SUP003,Headphones,Vietnam,India,4747,6276,20,24,0.77,0.08,Road,3,3
SHP109665,SUP010,Microchip,USA,India,4037,4270,8,18,0.71,0.03,Road,1,5
SHP095608,SUP006,Laptop,Taiwan,Australia,3349,8365,30,47,0.7,0.62,Sea,2,11
SHP019634,SUP008,Tablet,Vietnam,Singapore,491,6277,6,5,0.74,0.08,Air,3,0
SHP086474,SUP003,Mouse,South Korea,Australia,3407,5061,9,12,0.74,0.74,Road,1,0
SHP067300,SUP005,Mouse,China,UK,1402,9891,17,23,0.87,0.76,Road,3,4
SHP040919,SUP010,Mouse,India,France,3334,2821,17,32,0.94,0.5,Sea,2,6
SHP042176,SUP010,Tablet,Japan,India,4102,8059,8,19,0.71,0.82,Air,4,9
SHP082210,SUP006,Keyboard,India,Singapore,4943,8592,27,30,0.71,0.66,Air,2,0
SHP081632,SUP009,Monitor,Japan,France,4872,1050,24,24,0.77,0.1,Air,2,0
SHP006212,SUP003,Headphones,USA,Australia,2715,9394,19,25,0.98,0.55,Road,1,5
SHP007278,SUP001,Keyboard,Germany,Canada,3579,280,17,19,0.95,0.82,Air,2,0
SHP049519,SUP002,Monitor,South Korea,USA,1941,7430,21,34,0.78,0.5,Sea,1,5
SHP050169,SUP007,Tablet,Vietnam,France,285,6663,11,22,0.79,0.46,Road,4,7
SHP060034,SUP009,Tablet,China,Australia,701,3012,24,38,0.78,0.99,Sea,4,8
SHP000275,SUP003,Microchip,USA,Canada,2026,2237,24,25,0.88,0.22,Air,1,0
SHP095665,SUP010,SSD,Vietnam,Australia,2467,8759,11,19,1.0,0.03,Sea,2,0
SHP045132,SUP010,Mouse,Germany,France,4781,4462,6,15,0.75,0.92,Air,0,7
SHP015312,SUP009,SSD,India,UK,4284,5925,16,31,0.78,0.93,Sea,0,6
SHP028970,SUP001,Headphones,South Korea,Canada,1051,2045,19,33,0.98,0.46,Sea,4,6
SHP031839,SUP006,SSD,Vietnam,Singapore,1145,3084,6,7,0.97,0.13,Air,0,0
SHP001808,SUP010,Router,Vietnam,France,3568,8740,7,18,0.86,0.09,Rail,4,6
SHP055270,SUP006,Smartphone,South Korea,USA,2488,6669,15,20,0.9,0.66,Air,3,6
SHP070322,SUP002,Microchip,Taiwan,Germany,4712,9608,10,25,0.94,0.32,Sea,0,7
SHP032901,SUP005,Keyboard,Japan,India,4893,8309,14,27,0.95,0.52,Road,4,9
SHP039197,SUP006,Mouse,Japan,Australia,4699,573,25,34,0.94,0.7,Sea,0,0
SHP107282,SUP003,Laptop,China,Australia,208,6547,4,12,0.71,0.43,Sea,1,2
SHP044126,SUP001,SSD,Germany,USA,1542,2452,25,34,0.81,0.46,Rail,0,5
SHP003419,SUP008,Laptop,India,Singapore,4325,4405,22,33,0.74,0.91,Road,0,7
SHP013006,SUP002,Smartphone,USA,Germany,2390,1493,27,39,0.82,0.61,Rail,2,7
SHP038708,SUP003,Laptop,USA,Canada,4005,5685,15,24,0.76,0.12,Air,2,8
SHP036659,SUP009,Monitor,Japan,Germany,950,6806,13,12,0.95,0.19,Air,4,0
SHP048716,SUP006,Monitor,Vietnam,Germany,836,2265,30,36,0.8,0.79,Air,1,7
SHP011186,SUP009,Router,China,Canada,1170,6639,13,19,0.83,0.62,Air,3,5
SHP010035,SUP004,Microchip,Japan,Australia,3763,5028,9,13,0.71,0.47,Rail,2,0
SHP054550,SUP010,Tablet,India,Germany,2159,8537,13,12,0.88,0.72,Air,3,0
SHP054219,SUP010,Printer,Japan,India,1202,1645,3,17,0.79,0.23,Sea,4,5
SHP008954,SUP008,Microchip,Taiwan,USA,1696,671,21,25,0.9,0.07,Road,0,0
SHP098641,SUP010,Laptop,Germany,Australia,3713,7027,27,37,0.93,0.94,Road,0,5
SHP007697,SUP010,Router,USA,Australia,1984,1291,16,22,0.96,0.69,Sea,0,0
SHP051298,SUP004,Tablet,Vietnam,Canada,4635,8153,5,15,0.78,0.95,Rail,4,5
SHP089060,SUP008,Headphones,USA,Singapore,1504,9164,4,10,0.73,0.36,Rail,2,0
SHP049754,SUP002,Mouse,South Korea,Germany,2630,2167,5,14,0.99,0.39,Road,2,7
SHP099669,SUP006,Printer,Japan,France,411,7819,15,20,0.75,0.13,Air,4,6
SHP003314,SUP003,Microchip,Germany,France,1076,5921,5,9,0.78,0.47,Road,0,0
SHP021649,SUP007,Tablet,Germany,USA,2417,6093,4,12,0.72,0.24,Sea,0,0
SHP033853,SUP010,Smartphone,Japan,Singapore,2220,2398,15,22,0.77,0.24,Sea,1,0
SHP008602,SUP002,Smartphone,Germany,UK,4926,4936,6,14,0.82,0.15,Rail,1,4
SHP040926,SUP005,Keyboard,Vietnam,USA,3962,3336,4,10,0.92,0.5,Rail,3,0
SHP100680,SUP003,Microchip,Vietnam,Singapore,4513,3548,22,23,0.9,0.39,Road,4,0
SHP025544,SUP006,Monitor,Japan,UK,4250,150,25,34,0.8,0.82,Sea,1,0
SHP011492,SUP008,Microchip,South Korea,Singapore,639,1671,20,21,0.99,0.05,Air,2,0
SHP010667,SUP008,Smartphone,China,Germany,2419,3222,12,12,0.87,0.28,Air,3,0
SHP109596,SUP001,Monitor,Germany,France,4949,2255,29,37,0.72,0.32,Road,1,6
SHP096164,SUP007,Monitor,Taiwan,Singapore,1649,8171,10,11,0.9,0.23,Air,0,0
SHP014903,SUP008,Microchip,China,USA,1473,7307,21,34,0.79,0.12,Sea,3,5
SHP076376,SUP004,Microchip,China,India,1743,7086,8,16,0.82,0.71,Sea,2,0
SHP101034,SUP008,Monitor,India,UK,542,5584,29,41,0.98,0.24,Sea,4,7
SHP017330,SUP001,Printer,Japan,Australia,409,831,17,26,0.95,0.4,Air,4,9
SHP039543,SUP001,Smartphone,Vietnam,India,228,7925,18,27,0.72,0.39,Road,0,4
SHP098361,SUP001,Printer,India,France,252,7523,29,35,0.98,0.89,Sea,2,0
SHP029973,SUP001,Monitor,Vietnam,India,458,816,14,21,0.73,0.67,Sea,1,0
SHP024573,SUP007,Mouse,Japan,UK,817,9408,13,20,1.0,0.03,Sea,0,0
SHP098951,SUP002,SSD,India,UK,4504,7537,6,6,0.75,0.36,Air,3,0
SHP090008,SUP001,Microchip,Japan,France,4916,7885,27,35,0.9,0.88,Air,2,6
SHP011142,SUP004,Microchip,India,Australia,3858,3604,11,20,0.8,0.59,Rail,2,6
SHP019356,SUP003,Microchip,Taiwan,France,191,7276,16,29,0.81,0.03,Sea,2,6
SHP103212,SUP004,Smartphone,China,Australia,64,2981,28,27,0.98,0.04,Air,4,0
SHP038764,SUP002,Printer,Germany,France,2851,7473,7,16,1.0,0.61,Rail,1,6
SHP034343,SUP001,Tablet,Germany,Germany,1605,9318,9,18,0.83,0.28,Sea,4,0
SHP023156,SUP007,Monitor,USA,UK,2060,9145,10,23,0.89,0.78,Sea,2,6
SHP005105,SUP008,Mouse,India,Canada,3802,1994,6,17,0.8,0.32,Sea,1,3
SHP108069,SUP009,Laptop,India,India,3298,4468,7,20,0.97,0.44,Sea,0,4
SHP011418,SUP004,Monitor,South Korea,Germany,2547,9652,20,25,0.94,0.78,Sea,0,0
SHP063654,SUP003,Tablet,China,UK,4703,2676,24,34,0.82,0.01,Sea,1,3
SHP080562,SUP010,Monitor,Germany,Canada,3643,5269,26,34,0.82,0.6,Rail,3,5
SHP055350,SUP001,Router,Taiwan,France,4405,9545,22,34,0.86,0.58,Sea,1,5
SHP062291,SUP008,Mouse,Japan,France,3925,7572,10,14,0.82,0.31,Rail,0,0
SHP015886,SUP001,Microchip,China,Australia,483,5313,29,45,0.81,0.8,Sea,3,11
SHP024606,SUP003,Tablet,Japan,India,852,4674,26,31,0.82,0.19,Sea,1,0
SHP031448,SUP009,Microchip,Germany,UK,3546,2536,21,29,0.76,0.77,Air,0,6
SHP045491,SUP008,SSD,South Korea,UK,625,2739,24,23,0.79,0.51,Air,2,0
SHP018348,SUP005,Tablet,South Korea,USA,2203,7261,24,35,0.8,0.76,Air,1,10
SHP093454,SUP008,Mouse,USA,Singapore,3270,1982,12,23,0.92,0.89,Sea,1,6
SHP097823,SUP010,Tablet,USA,Australia,3581,4297,14,22,0.73,0.98,Sea,0,0
SHP039922,SUP006,Microchip,Japan,Germany,3113,7239,14,13,0.93,0.01,Air,1,0
SHP036084,SUP008,Laptop,Vietnam,UK,3076,8286,16,33,0.76,0.92,Sea,4,10
SHP077063,SUP006,Mouse,China,Australia,211,573,19,26,0.88,0.35,Road,3,6
SHP000573,SUP004,Monitor,China,Singapore,4358,6797,19,30,0.74,0.05,Road,0,7
SHP079449,SUP001,Monitor,Vietnam,Germany,3507,7538,21,32,0.86,0.82,Rail,1,5
SHP073323,SUP004,Microchip,Vietnam,France,4454,1357,15,23,0.99,0.26,Sea,1,0
SHP098762,SUP005,Microchip,Japan,Singapore,1952,6543,16,25,0.77,0.26,Road,1,7
SHP078575,SUP009,Monitor,South Korea,France,2905,5788,19,19,0.85,0.24,Air,2,0
SHP003055,SUP008,Keyboard,Vietnam,Germany,1446,2901,18,33,0.93,0.79,Sea,3,8
SHP003470,SUP010,Laptop,Japan,Germany,941,4995,29,38,0.76,0.63,Road,4,8
SHP104911,SUP007,Keyboard,Vietnam,Germany,3816,7313,8,25,0.85,0.86,Sea,0,8
SHP107170,SUP003,Tablet,USA,UK,4738,5348,16,21,0.77,0.56,Road,0,4
SHP036668,SUP002,Smartphone,Japan,France,2440,2036,28,41,0.87,0.98,Sea,0,7
SHP089091,SUP006,Microchip,South Korea,UK,805,357,9,21,0.84,0.11,Road,4,8
SHP078112,SUP007,Headphones,India,Canada,4333,4270,15,22,0.94,0.96,Air,0,4
